Comment,Description,Designator,Footprint,Quantity,Manufacturer,Manufacturer Part Number,Part Description,Part Number
"ESD8351XV2T1G","ESD protection diode","D9, D10, D11, D12, D13, D17, D18, D19, D20, D21","SODFL1608X65N","10","NXP SEMICONDUCTORS","ESD8351XV2T1G","ESD protection diode (23kV)","ESD8351XV2T1G"
"PRTR5V0U2X","Ultra Low Capacitance Double Rail-to-Rail ESD Protection Diode","D26","SOT190P230X110-4N","1","NXP SEMICONDUCTORS","PRTR5V0U2X","Ultra Low Capacitance (1pF) Double Rail-to-Rail ESD Protection Diode (8kV)","PRTR5V0U2X"
"100mA-15V","Fuse","F1, F2, F4","FUSR_LITTELFUSE_0805L010","3","LITTELFUSE","0805L010YR","POLYFUSE® Surface Mount Resettable PTC","FUSR_LITTELFUSE_0805L010YR"
"2.5A-16V","Fuse","F3","FUSR_BOURNS_MF-MSMF_STYLE2","1","BOURNS","MF-MSMF250/16X-2","PTC Resettable Fuse","FUSR_BOURNS_MF-MSMF250/16X-2"
"220R@100MHz","Inductor","FB1, FB2, FB3, FB29, FB30","INDC2012X105N","5","MURATA","BLM21PG221SN1D","SMD EMIFIL Suppression Chip Ferrite Bead, SMD EMIFIL Suppression Chip Bead Ferrite","IND0805_MURATA_BLM21PG221SN1D"
"120R@100MHz","","FB4, FB9, FB10, FB11, FB12, FB13, FB14, FB15, FB16, FB17, FB18, FB19, FB20, FB21, FB22, FB23, FB24, FB25, FB31","INDC1005X55N","19","MURATA","BLM15PX121SN1D","SMD EMIFIL Chip Ferrite Bead","IND0402_MURATA_BLM15PX121SN1D"
"60R@100MHz","","FB5, FB6, FB7, FB8","INDC4516X180N","4","MURATA","BLM41PG600SN1L","SMD EMI Suppression Chip Ferrite Bead (BLM41P Series)","IND1806_MURATA_BLM41PG600SN1L"
"120R@100MHz","","FB26, FB27, FB28","INDC1608X65N","3","MURATA","BLM18SG121TN1D","SMD EMIFIL Suppression Chip Ferrite Bead","IND0603_MURATA_BLM18SG121TN1D"
"Heat Sink No Pad","Heat Sink Without Pad","HS1","HSINK_ATS_ATS-50350B-C1-R0","1","ADVENCED THERMAL SOLUTION (ATS)","ATS-50350B-C1-R0","35.0 x 35.0 x 7.5 mm BGA Heat Sink, High Performance maxiFLOW/maxiGRIP-STD","HSINK_ATS_ATS-50350B-C1-R0"
"LPC1768FBD100","LPC1768 Series 64kB 100MHz 32-Bit ARM Cortex-M3 Microcontroller","IC1","QFP50P1600X1600X160-100N","1","NXP SEMICONDUCTORS","LPC1768FBD100","32-bit 100MHz ARM Cortex-M3 Microcontroller, 512kB Flash, 64kB SRAM, with Ethernet, USB 2.0 Host/Device/OTG, CAN","LPC1768FBD100"
"XC7A200T-3FFG1156C","Artix-6 FPGA, 16 GTPs, 600 User I/Os, 1156-Pin BGA, Speed Grade 2, Commercial Grade, Pb-Free","IC2","BGA1156C100P34X34_3500X3500X335","1","XILINX","XC7A200T-3FFG1156C","Artix-7 FPGA, 16 GTPs, 600 User I/Os, 1156-Pin BGA, Speed Grade 2, Commercial Grade, Pb-Free","XC7A200T-3FFG1156C"
"TPS3808G33DBVT","Low Quiescent Current, Programmable-Delay Supervisory Circuit","IC3","SOT95P280X145-6N","1","TEXAS INSTRUMENTS","TPS3808G33DBVT","3.3V, Low Quiescent Current, Programmable-Delay Supervisory Circuit","TPS3808G33DBVT"
"BZA462A","Quadruple ESD Transient Voltage Suppressor","IC4, IC5","SOT95P275X110-6N","2","NXP SEMICONDUCTORS","BZA462A","Quadruple ESD Transient Voltage Suppressor","BZA462A"
"INA3221AIRGV","Triple-Channel, High-Side Measurement, Shunt and Bus Voltage Monitor With I2C and SMBUS-Compatible Interface","IC6, IC7, IC8","QFN65P400X400X100-17N-S225","3","TEXAS INSTRUMENTS","INA3221AIRGV","Triple-Channel, High-Side Measurement, Shunt and Bus Voltage Monitor With I2C and SMBUS-Compatible Interface","INA3221AIRGV"
"MCP79410-I/SN","I2C Real-Time Clock/Calendar with EEPROM, SRAM, Unique ID and Battery Switchover","IC9","SOIC127P600X175-8N","1","MICROCHIP TECHNOLOGY","MCP79410-I/SN","I2C Real-Time Clock/Calendar with EEPROM, SRAM, Unique ID and Battery Switchover","MCP79410-I/SN"
"TPS53126RGET","Dual Synchronous Step-Down Controller For Low Voltage Power Rails","IC10, IC12, IC43","QFN50P400X400X100-25N-S255","3","TEXAS INSTRUMENTS","TPS53126RGET","Dual Synchronous Step-Down Controller For Low Voltage Power Rails","TPS53126RGET"
